Month,Tamilnadu,Delhi,AN
1/1/2001,4174,707,8
2/1/2001,4264,695,23
3/1/2001,4724,638,15
4/1/2001,4442,730,15
5/1/2001,4465,777,14
6/1/2001,4453,718,19
7/1/2001,4370,818,14
8/1/2001,4437,698,19
9/1/2001,4378,607,7
10/1/2001,3985,559,12
11/1/2001,4261,562,13
12/1/2001,4025,540,22
1/1/2002,4326,590,12
1/1/2002,4300,643,10
3/1/2002,4703,681,14
4/1/2002,4788,710,16
5/1/2002,4935,645,10
6/1/2002,4609,746,7
7/1/2002,4434,722,16
8/1/2002,4523,726,11
9/1/2002,4500,809,23
10/1/2002,4273,696,21
11/1/2002,3883,632,11
12/1/2002,4229,574,17
1/1/2003,4278,619,19
2/1/2003,4114,544,13
3/1/2003,4341,553,15
4/1/2003,3928,698,13
5/1/2003,4244,786,13
6/1/2003,4378,847,12
7/1/2003,4177,689,8
8/1/2003,4337,755,16
9/1/2003,4555,850,17
10/1/2003,4397,868,25
11/1/2003,3973,839,14
12/1/2003,4303,780,15
1/1/2004,4160,644,21
2/1/2004,4252,616,14
3/1/2004,4457,631,22
4/1/2004,4421,570,17
5/1/2004,4540,613,13
6/1/2004,4495,801,18
7/1/2004,4373,762,16
8/1/2004,4696,698,19
9/1/2004,4506,714,16
10/1/2004,4282,719,20
11/1/2004,4136,698,15
12/1/2004,4190,779,24
1/1/2005,9062,786,19
2/1/2005,8705,747,21
3/1/2005,9205,646,22
4/1/2005,9006,569,17
5/1/2005,9330,575,13
6/1/2005,5691,556,19
7/1/2005,4235,589,21
8/1/2005,4158,632,14
9/1/2005,4450,810,15
10/1/2005,4082,702,19
11/1/2005,3601,719,10
12/1/2005,3955,747,16
1/1/2006,4435,815,21
2/1/2006,4322,796,13
3/1/2006,4781,752,4
4/1/2006,4808,713,22
5/1/2006,5082,657,9
6/1/2006,5029,639,14
7/1/2006,4365,606,12
8/1/2006,4891,554,14
9/1/2006,4575,635,8
10/1/2006,4320,661,14
11/1/2006,4007,779,6
12/1/2006,4530,665,18
1/1/2007,4855,747,17
2/1/2007,4527,766,16
3/1/2007,4911,773,12
4/1/2007,5348,754,22
5/1/2007,5414,757,12
6/1/2007,4978,691,14
7/1/2007,4841,565,8
8/1/2007,5320,545,10
9/1/2007,4850,570,11
10/1/2007,4758,556,7
11/1/2007,4730,612,11
12/1/2007,4585,658,12
1/1/2008,4962,763,17
2/1/2008,4626,768,22
3/1/2008,5018,785,15
4/1/2008,5465,727,16
5/1/2008,5532,806,15
6/1/2008,5087,846,17
7/1/2008,4947,834,13
8/1/2008,5436,731,11
9/1/2008,4956,610,13
10/1/2008,4862,640,17
11/1/2008,4833,633,11
12/1/2008,4685,571,24
1/1/2009,4950,644,16
2/1/2009,4802,624,23
3/1/2009,4927,811,23
4/1/2009,4956,801,21
5/1/2009,5406,803,21
6/1/2009,5241,793,19
7/1/2009,4975,900,24
8/1/2009,5227,863,25
9/1/2009,5332,768,31
10/1/2009,5288,721,22
11/1/2009,4723,707,20
12/1/2009,4967,600,26
1/1/2010,5498,637,16
2/1/2010,5199,554,30
3/1/2010,5727,593,28
4/1/2010,5663,744,15
5/1/2010,6027,780,29
6/1/2010,5393,706,24
7/1/2010,5221,791,22
8/1/2010,5367,761,18
9/1/2010,5349,831,25
10/1/2010,5426,804,30
11/1/2010,5179,833,27
12/1/2010,4947,707,21
1/1/2011,5522,609,24
2/1/2011,5228,574,10
3/1/2011,5821,589,19
4/1/2011,5461,658,24
5/1/2011,6018,622,13
6/1/2011,5879,742,28
7/1/2011,5706,821,17
8/1/2011,5162,724,18
9/1/2011,5688,859,25
10/1/2011,5107,778,17
11/1/2011,4937,780,18
12/1/2011,5344,832,22
1/1/2012,5868,896,25
2/1/2012,5646,704,15
3/1/2012,5813,639,24
4/1/2012,5819,614,24
5/1/2012,5896,685,18
6/1/2012,5646,603,16
7/1/2012,5688,687,17
8/1/2012,5815,687,18
9/1/2012,5283,798,18
10/1/2012,5444,669,25
11/1/2012,5367,778,17
12/1/2012,5472,843,19
