Month,Total_Count
1/1/2006,4435
2/1/2006,4322
3/1/2006,4781
4/1/2006,4808
5/1/2006,5082
6/1/2006,5029
7/1/2006,4365
8/1/2006,4891
9/1/2006,4575
10/1/2006,4320
11/1/2006,4007
12/1/2006,4530
1/1/2007,4855
2/1/2007,4527
3/1/2007,4911
4/1/2007,5348
5/1/2007,5414
6/1/2007,4978
7/1/2007,4841
8/1/2007,5320
9/1/2007,4850
10/1/2007,4758
11/1/2007,4730
12/1/2007,4585
1/1/2008,4962
2/1/2008,4626
3/1/2008,5018
4/1/2008,5465
5/1/2008,5532
6/1/2008,5087
7/1/2008,4947
8/1/2008,5436
9/1/2008,4956
10/1/2008,4862
11/1/2008,4833
12/1/2008,4685
1/1/2009,4950
2/1/2009,4802
3/1/2009,4927
4/1/2009,4956
5/1/2009,5406
6/1/2009,5241
7/1/2009,4975
8/1/2009,5227
9/1/2009,5332
10/1/2009,5288
11/1/2009,4723
12/1/2009,4967
1/1/2010,5498
2/1/2010,5199
3/1/2010,5727
4/1/2010,5663
5/1/2010,6027
6/1/2010,5393
7/1/2010,5221
8/1/2010,5367
9/1/2010,5349
10/1/2010,5426
11/1/2010,5179
12/1/2010,4947
1/1/2011,5522
2/1/2011,5228
3/1/2011,5821
4/1/2011,5461
5/1/2011,6018
6/1/2011,5879
7/1/2011,5706
8/1/2011,5162
9/1/2011,5688
10/1/2011,5107
11/1/2011,4937
12/1/2011,5344
1/1/2012,5868
2/1/2012,5646
3/1/2012,5813
4/1/2012,5819
5/1/2012,5896
6/1/2012,5646
7/1/2012,5688
8/1/2012,5815
9/1/2012,5283
10/1/2012,5444
11/1/2012,5367
12/1/2012,5472
